label,model,het,alpha,s2_P,s2_PM,s2_E,sd_pair
post_hoc_absolute_variance_not_preregistered,tl,a01,0.1,4.093653640661186e-06,3.7786614073651184e-06,1.8928478630513704e-07,0.002817071597837107
post_hoc_absolute_variance_not_preregistered,tl,a05,0.5,2.2187869248470006e-07,5.468089953042993e-07,3.335536588159154e-08,0.0010771855561470278
post_hoc_absolute_variance_ratio_a01_over_a05_not_preregistered,tl,a01_over_a05,,18.449962882053082,6.9103863319993355,5.674792684843587,2.615214789839419
