model,pooled_iid_var,s2_E_a01,ratio_s2E_a01_over_iid,iid_var_fedit,iid_var_ffa_lora,iid_var_flora
tl,6.399128566608076e-08,1.8928478630513704e-07,2.9579775485815776,1.1635412592368747e-07,1.3948684698156833e-08,6.167104637639797e-08
l3,3.06834472308735e-07,1.3086842005753545e-07,0.42651146421988867,2.3356647222146426e-07,2.419767085268227e-08,6.627392738520585e-07
