model,s2_P,s2_PM,s2_E,share_P,share_PM,share_E,s2_P_ci_lo,s2_P_ci_hi,s2_PM_ci_lo,s2_PM_ci_hi,s2_E_ci_lo,s2_E_ci_hi,share_P_ci_lo,share_P_ci_hi,share_PM_ci_lo,share_PM_ci_hi,share_E_ci_lo,share_E_ci_hi,trunc_P,trunc_PM,MS_P,MS_PM,MS_E,mixedlm_partition_var,mixedlm_method_vc,mixedlm_residual,mixedlm_converged,s2_P_fedit,s2_E_fedit,s2_P_ffa_lora,s2_E_ffa_lora,s2_P_flora,s2_E_flora
tl,4.093653640661186e-06,3.7786614073651184e-06,1.8928478630513704e-07,0.5077966811535093,0.4687235145650823,0.023479804281408452,8.81118988127315e-07,7.213974644994379e-06,1.4527424376275768e-06,4.986254178259928e-06,3.9586866952919443e-08,4.5776325545084413e-07,0.20241089540082044,0.662631276005555,0.31605107530651283,0.7646737286449545,0.006803769001717661,0.056265042543090456,False,False,3.230852944500249e-05,7.746607601035374e-06,1.8928478630513704e-07,nan,7.872113681391214e-06,1.892890467511803e-07,True,1.502978643556611e-05,3.9913563238089684e-07,6.757248911846378e-06,1.0480957034723595e-07,1.8299097966667172e-06,6.390915618727833e-08
l3,3.2806790573462094e-06,1.1053934835216425e-05,1.3086842005753545e-07,0.22679361713947385,0.7641594380556951,0.009046944804831116,0.0,9.446001018943421e-06,2.9659100507075093e-06,1.6707709222970572e-05,3.775849017312421e-08,2.5340411995664207e-07,0.0,0.5512495499089418,0.4429926568736913,0.9895167683229428,0.0023652272075197047,0.042702588089624696,False,False,4.192281243456764e-05,2.2238738090490385e-05,1.3086842005753545e-07,nan,1.4333869214438412e-05,1.3087403904030608e-07,True,2.865874009132088e-05,3.3939783308902386e-08,1.0128211725264583e-05,1.7106500338220563e-07,4.216889861101805e-06,1.8760047348149837e-07
