pair,sd_pair_empirical,n_partitions,model,sd_pair_model
fedit-ffa_lora,0.0031109659345369247,10,tl,0.002817071597837107
fedit-flora,0.0029377150715320767,10,tl,0.002817071597837107
ffa_lora-flora,0.0022207079762432093,10,tl,0.002817071597837107
fedit-ffa_lora,0.005053639768525025,6,l3,0.004729651838195696
fedit-flora,0.005546986830512628,6,l3,0.004729651838195696
ffa_lora-flora,0.003226124062024421,6,l3,0.004729651838195696
