model,het,label,p,r,m,s2_P,s2_PM,s2_E,share_P,share_PM,share_E,s2_P_ci_lo,s2_P_ci_hi,s2_PM_ci_lo,s2_PM_ci_hi,s2_E_ci_lo,s2_E_ci_hi,share_P_ci_lo,share_P_ci_hi,share_PM_ci_lo,share_PM_ci_hi,share_E_ci_lo,share_E_ci_hi,trunc_P,trunc_PM
l3,a01,I10_l3_p10,10,2,3,0.0,2.944650648745825e-05,2.0344034039398516e-07,0.0,0.9931385934155241,0.006861406584475884,0.0,6.8676816307443895e-06,7.104017217066151e-06,5.186422248184292e-05,7.84960523534328e-08,3.5767257378055e-07,0.0,0.35265226790193976,0.6345171786673648,0.9979360840349591,0.0019827954820672055,0.03161812034201011,True,False
l3,a01,I10_l3_p6_sensitivity,6,2,3,3.2806790573462094e-06,1.1053934835216425e-05,1.3086842005753545e-07,0.22679361713947385,0.7641594380556951,0.009046944804831116,0.0,9.446001018943421e-06,2.9659100507075093e-06,1.6707709222970572e-05,3.775849017312421e-08,2.5340411995664207e-07,0.0,0.5512495499089418,0.4429926568736913,0.9895167683229428,0.0023652272075197047,0.042702588089624696,False,False
