model,het,label,p,r,m,s2_P,s2_PM,s2_E,share_P,share_PM,share_E,s2_P_ci_lo,s2_P_ci_hi,s2_PM_ci_lo,s2_PM_ci_hi,s2_E_ci_lo,s2_E_ci_hi,share_P_ci_lo,share_P_ci_hi,share_PM_ci_lo,share_PM_ci_hi,share_E_ci_lo,share_E_ci_hi,trunc_P,trunc_PM
tl,a01,I8_tl_a01_ref,10,2,3,4.093653640661186e-06,3.7786614073651184e-06,1.8928478630513704e-07,0.5077966811535093,0.4687235145650823,0.023479804281408452,8.81118988127315e-07,7.213974644994379e-06,1.4527424376275768e-06,4.986254178259928e-06,3.9586866952919443e-08,4.5776325545084413e-07,0.20241089540082044,0.662631276005555,0.31605107530651283,0.7646737286449545,0.006803769001717661,0.056265042543090456,False,False
tl,a05,I8_tl_a05,10,2,3,2.2187869248470006e-07,5.468089953042993e-07,3.335536588159154e-08,0.2766418728636336,0.6817701279274224,0.041587999208943974,0.0,4.866881466643063e-07,1.6834037301113707e-07,8.547254020304106e-07,1.699706196340634e-08,5.047807560846999e-08,0.0,0.5972272331003103,0.35242288212565615,0.9583382266939812,0.02697159650259377,0.093936284231504,False,False
