pair,mean_diff,ci_lo,ci_hi,raw_p,holm_p,holm_reject_0.05,model
fedit-ffa_lora,-0.02300289633037651,-0.025228347295830695,-0.020777445364922324,2.279679755005494e-09,4.559359510010988e-09,True,tl
fedit-flora,0.0005525661252298031,-0.001548948638911622,0.002654080889371228,0.5666253518794119,0.5666253518794119,False,tl
ffa_lora-flora,0.023555462455606312,0.02196686366869677,0.025144061242515853,9.168815419354268e-11,2.7506446258062804e-10,True,tl
fedit-ffa_lora,-0.032675266363628976,-0.03797873604993346,-0.027371796677324492,1.825900908004956e-05,3.651801816009912e-05,True,l3
fedit-flora,-0.0020142354476993716,-0.007835441123888679,0.0038069702284899364,0.4144940744663271,0.4144940744663271,False,l3
ffa_lora-flora,0.030661030915929605,0.02727542134522653,0.03404664048663268,2.7217581254900157e-06,8.165274376470048e-06,True,l3
