model,het,method,data_seed,run_seed,heldout_loss,base_loss,delta_loss,final_train_loss,comm_mb_total,upload_mb_total,active_clients,run_dir,gpu_name,wall_clock_s
tl,a01,ffa_lora,2002,7001,1.7201667097064477,2.1206655930514597,-0.40049888334501205,1.6854081165127308,983.125,519.0625,10,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2002_run7001/prod_v1/20260917_121013,NVIDIA GeForce RTX 4090,1584.1334974520141
tl,a01,flora,2002,7001,1.697237535747065,2.1206655930514597,-0.4234280573043947,1.6452118505294422,2578.125,1289.0625,10,results/raw/vp_tl_flora_a01/flora/seed_2002_run7001/prod_v1/20260917_123723,NVIDIA GeForce RTX 4090,1951.5223596489523
tl,a01,fedit,2002,7002,1.6965223325408705,2.1206655930514597,-0.42414326051058926,1.6488502902950302,2578.125,1289.0625,10,results/raw/vp_tl_fedit_a01/fedit/seed_2002_run7002/prod_v1/20260917_123529,NVIDIA GeForce RTX 4090,1645.4248005915433
tl,a01,ffa_lora,2002,7002,1.7204798017068912,2.1206655930514597,-0.40018579134456855,1.6944355847201606,983.125,519.0625,10,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2002_run7002/prod_v1/20260917_130336,NVIDIA GeForce RTX 4090,1630.2250538114458
tl,a01,flora,2002,7002,1.696891230895624,2.1206655930514597,-0.42377436215583564,1.653903858632728,2578.125,1289.0625,10,results/raw/vp_tl_flora_a01/flora/seed_2002_run7002/prod_v1/20260917_133128,NVIDIA GeForce RTX 4090,3377.379070190713
tl,a01,fedit,2003,7001,1.7025795036400635,2.1206655930514597,-0.41808608941139624,1.5492674404847029,2578.125,1289.0625,10,results/raw/vp_tl_fedit_a01/fedit/seed_2003_run7001/prod_v1/20260917_130258,NVIDIA GeForce RTX 4090,1624.3059809550177
tl,a01,ffa_lora,2003,7001,1.7207505591156447,2.1206655930514597,-0.39991503393581507,1.6030868135354974,983.125,519.0625,10,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2003_run7001/prod_v1/20260917_133041,NVIDIA GeForce RTX 4090,1611.0854381721
tl,a01,flora,2003,7001,1.69786196144062,2.1206655930514597,-0.42280363161083967,1.5473637418614818,2578.125,1289.0625,10,results/raw/vp_tl_flora_a01/flora/seed_2003_run7001/prod_v1/20260917_135831,NVIDIA GeForce RTX 4090,1784.5834734310629
tl,a01,fedit,2003,7002,1.705135599808497,2.1206655930514597,-0.4155299932429628,1.5622778228038858,2578.125,1289.0625,10,results/raw/vp_tl_fedit_a01/fedit/seed_2003_run7002/prod_v1/20260917_131038,NVIDIA GeForce RTX 4090,1600.4457176469732
tl,a01,ffa_lora,2003,7002,1.7220060441685625,2.1206655930514597,-0.39865954888289723,1.6180741511238448,983.125,519.0625,10,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2003_run7002/prod_v1/20260917_133802,NVIDIA GeForce RTX 4090,1591.139377528918
tl,a01,flora,2003,7002,1.6980626717996141,2.1206655930514597,-0.4226029212518456,1.5579578931485978,2578.125,1289.0625,10,results/raw/vp_tl_flora_a01/flora/seed_2003_run7002/prod_v1/20260917_140516,NVIDIA GeForce RTX 4090,1956.3447523330105
tl,a01,fedit,2004,7001,1.6940107342315303,2.1206655930514597,-0.4266548588199295,1.6527504951982013,2578.125,1289.0625,10,results/raw/vp_tl_fedit_a01/fedit/seed_2004_run7001/prod_v1/20260917_142826,NVIDIA GeForce RTX 4090,1650.22958867345
tl,a01,ffa_lora,2004,7001,1.7189394451031859,2.1206655930514597,-0.4017261479482739,1.6945655980749248,983.125,519.0625,10,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2004_run7001/prod_v1/20260917_145639,NVIDIA GeForce RTX 4090,1625.8235398540273
tl,a01,flora,2004,7001,1.6947523957519084,2.1206655930514597,-0.42591319729955135,1.656476762117539,2578.125,1289.0625,10,results/raw/vp_tl_flora_a01/flora/seed_2004_run7001/prod_v1/20260917_152424,NVIDIA GeForce RTX 4090,1229.0192059790716
tl,a01,fedit,2004,7002,1.694974113275461,2.1206655930514597,-0.42569147977599875,1.6561745503615595,2578.125,1289.0625,10,results/raw/vp_tl_fedit_a01/fedit/seed_2004_run7002/prod_v1/20260917_142852,NVIDIA GeForce RTX 4090,1625.0811969520291
tl,a01,ffa_lora,2004,7002,1.7189461430831077,2.1206655930514597,-0.40171944996835207,1.698249492943447,983.125,519.0625,10,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2004_run7002/prod_v1/20260917_145635,NVIDIA GeForce RTX 4090,1613.5704057000112
tl,a01,flora,2004,7002,1.6946910218031221,2.1206655930514597,-0.4259745712483376,1.659794423065461,2578.125,1289.0625,10,results/raw/vp_tl_flora_a01/flora/seed_2004_run7002/prod_v1/20260917_152405,NVIDIA GeForce RTX 4090,1759.6856427489547
tl,a01,fedit,2005,7001,1.6959285415039327,2.1206655930514597,-0.42473705154752706,1.5948925710896051,2320.3125,1160.15625,9,results/raw/vp_tl_fedit_a01/fedit/seed_2005_run7001/prod_v1/20260917_143834,NVIDIA GeForce RTX 4090,1590.208064944949
tl,a01,ffa_lora,2005,7001,1.7213517013330102,2.1206655930514597,-0.39931389171844955,1.6479903474255249,884.8125,467.15625,9,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2005_run7001/prod_v1/20260917_150547,NVIDIA GeForce RTX 4090,1576.06923452497
tl,a01,flora,2005,7001,1.6940781953814306,2.1206655930514597,-0.4265873976700292,1.5936565304564674,2320.3125,1160.15625,9,results/raw/vp_tl_flora_a01/flora/seed_2005_run7001/prod_v1/20260917_153244,NVIDIA GeForce RTX 4090,1942.6748209090438
tl,a01,fedit,2005,7002,1.6961490905336793,2.1206655930514597,-0.4245165025177804,1.5942299395379467,2320.3125,1160.15625,9,results/raw/vp_tl_fedit_a01/fedit/seed_2005_run7002/prod_v1/20260917_163816,NVIDIA GeForce RTX 4090,1638.985369795002
tl,a01,ffa_lora,2005,7002,1.721433859233458,2.1206655930514597,-0.3992317338180018,1.6481365854419117,884.8125,467.15625,9,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2005_run7002/prod_v1/20260917_170616,NVIDIA GeForce RTX 4090,1636.4934988236055
tl,a01,flora,2005,7002,1.6943052492095512,2.1206655930514597,-0.4263603438419086,1.592596552024797,2320.3125,1160.15625,9,results/raw/vp_tl_flora_a01/flora/seed_2005_run7002/prod_v1/20260917_190207,NVIDIA GeForce RTX 4090,2427.4737646328285
tl,a01,fedit,2006,7001,1.6947653142867583,2.1206655930514597,-0.4259002787647015,1.6528715577981228,2578.125,1289.0625,10,results/raw/vp_tl_fedit_a01/fedit/seed_2006_run7001/prod_v1/20260917_155409,NVIDIA GeForce RTX 4090,1625.764758853009
tl,a01,ffa_lora,2006,7001,1.720916614254517,2.1206655930514597,-0.3997489787969428,1.6960033292038372,983.125,519.0625,10,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2006_run7001/prod_v1/20260917_162151,NVIDIA GeForce RTX 4090,1615.369429660961
tl,a01,flora,2006,7001,1.696522344431602,2.1206655930514597,-0.42414324861985775,1.6555583108447542,2578.125,1289.0625,10,results/raw/vp_tl_flora_a01/flora/seed_2006_run7001/prod_v1/20260917_164924,NVIDIA GeForce RTX 4090,1757.5152442640392
tl,a01,fedit,2006,7002,1.6947985097402025,2.1206655930514597,-0.4258670833112572,1.6478546814491595,2578.125,1289.0625,10,results/raw/vp_tl_fedit_a01/fedit/seed_2006_run7002/prod_v1/20260917_160548,NVIDIA GeForce RTX 4090,1604.4617974909488
tl,a01,ffa_lora,2006,7002,1.7209060353359975,2.1206655930514597,-0.39975955771546223,1.6907125593419885,983.125,519.0625,10,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2006_run7002/prod_v1/20260917_163344,NVIDIA GeForce RTX 4090,1625.6550628880505
tl,a01,flora,2006,7002,1.6959854220981962,2.1206655930514597,-0.4246801709532635,1.6504532302595554,2578.125,1289.0625,10,results/raw/vp_tl_flora_a01/flora/seed_2006_run7002/prod_v1/20260917_170101,NVIDIA GeForce RTX 4090,1957.9599148009438
tl,a01,fedit,2007,7001,1.6905904829217095,2.1206655930514597,-0.4300751101297502,1.6301839509861658,2578.125,1289.0625,10,results/raw/vp_tl_fedit_a01/fedit/seed_2007_run7001/prod_v1/20260917_194356,NVIDIA GeForce RTX 4090,2045.5832082433626
tl,a01,ffa_lora,2007,7001,1.716141480382691,2.1206655930514597,-0.40452411266876864,1.668760212006172,983.125,519.0625,10,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2007_run7001/prod_v1/20260917_201929,NVIDIA GeForce RTX 4090,2026.763973643072
tl,a01,flora,2007,7001,1.694324539663131,2.1206655930514597,-0.42634105338832873,1.6342682560983401,2578.125,1289.0625,10,results/raw/vp_tl_flora_a01/flora/seed_2007_run7001/prod_v1/20260917_205506,NVIDIA GeForce RTX 4090,2488.318868153263
tl,a01,fedit,2007,7002,1.6908643223294808,2.1206655930514597,-0.42980127072197893,1.631218323304821,2578.125,1289.0625,10,results/raw/vp_tl_fedit_a01/fedit/seed_2007_run7002/prod_v1/20260917_171918,NVIDIA GeForce RTX 4090,1625.8588767360197
tl,a01,ffa_lora,2007,7002,1.7161299309012505,2.1206655930514597,-0.4045356621502092,1.6707771521911337,983.125,519.0625,10,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2007_run7002/prod_v1/20260917_174701,NVIDIA GeForce RTX 4090,1617.2816411220701
tl,a01,flora,2007,7002,1.6944052631594972,2.1206655930514597,-0.4262603298919625,1.6351642660362298,2578.125,1289.0625,10,results/raw/vp_tl_flora_a01/flora/seed_2007_run7002/prod_v1/20260917_181436,NVIDIA GeForce RTX 4090,1764.0822291029617
tl,a01,fedit,2008,7001,1.6931581692238378,2.1206655930514597,-0.42750742382762197,1.7262393143375498,2320.3125,1160.15625,9,results/raw/vp_tl_fedit_a01/fedit/seed_2008_run7001/prod_v1/20260917_173425,NVIDIA GeForce RTX 4090,1586.2197720439872
tl,a01,ffa_lora,2008,7001,1.7153286222312707,2.1206655930514597,-0.40533697082018905,1.7633589725386478,884.8125,467.15625,9,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2008_run7001/prod_v1/20260917_180133,NVIDIA GeForce RTX 4090,1574.8543779019965
tl,a01,flora,2008,7001,1.693752976376276,2.1206655930514597,-0.42691261667518376,1.7325733426629537,2320.3125,1160.15625,9,results/raw/vp_tl_flora_a01/flora/seed_2008_run7001/prod_v1/20260917_182830,NVIDIA GeForce RTX 4090,1935.861995239975
