exp,model,het,method,tag,data_seed,run_seed,torch,cuda,transformers,peft,datasets,gpu,path
vp_tl_ffa_lora_iid,tl,iid,ffa_lora,prod_v1,2001,7005,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_iid/ffa_lora/seed_2001_run7005/prod_v1/20260917_104251
vp_l3_flora_a01,l3,a01,flora,prod_v1,2004,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2004_run7002/prod_v1/20260918_070733
vp_l3_flora_a01,l3,a01,flora,prod_v1,2003,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2003_run7001/prod_v1/20260918_043918
vp_l3_flora_a01,l3,a01,flora,prod_v1,2002,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2002_run7001/prod_v1/20260918_060421
vp_l3_flora_a01,l3,a01,flora,prod_v1,2005,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2005_run7002/prod_v1/20260918_112741
vp_l3_flora_a01,l3,a01,flora,prod_v2,2010,7001,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2010_run7001/prod_v2/20260919_183440
vp_l3_flora_a01,l3,a01,flora,prod_v2,2009,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2009_run7001/prod_v2/20260919_185925
vp_l3_flora_a01,l3,a01,flora,prod_v2,2007,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2007_run7002/prod_v2/20260919_162459
vp_l3_flora_a01,l3,a01,flora,prod_v1,2006,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2006_run7002/prod_v1/20260918_180234
vp_l3_flora_a01,l3,a01,flora,prod_v2,2008,7001,2.11.0+cu128,12.8,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2008_run7001/prod_v2/20260919_153542
vp_l3_flora_a01,l3,a01,flora,prod_v1,2001,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2001_run7001/prod_v1/20260918_025954
vp_l3_flora_a01,l3,a01,flora,prod_v1,2004,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2004_run7001/prod_v1/20260918_083706
vp_l3_flora_a01,l3,a01,flora,prod_v1,2003,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2003_run7002/prod_v1/20260918_153744
vp_l3_flora_a01,l3,a01,flora,prod_v1,2002,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2002_run7002/prod_v1/20260918_054816
vp_l3_flora_a01,l3,a01,flora,prod_v1,2005,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2005_run7001/prod_v1/20260918_164835
vp_l3_flora_a01,l3,a01,flora,prod_v2,2010,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2010_run7002/prod_v2/20260919_213340
vp_l3_flora_a01,l3,a01,flora,prod_v2,2007,7001,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2007_run7001/prod_v2/20260919_193825
vp_l3_flora_a01,l3,a01,flora,prod_v2,2009,7002,2.11.0+cu128,12.8,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2009_run7002/prod_v2/20260919_183950
vp_l3_flora_a01,l3,a01,flora,prod_v2,2008,7002,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2008_run7002/prod_v2/20260919_161712
vp_l3_flora_a01,l3,a01,flora,prod_v1,2006,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2006_run7001/prod_v1/20260918_094901
vp_l3_flora_a01,l3,a01,flora,prod_v1,2001,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_flora_a01/flora/seed_2001_run7002/prod_v1/20260918_021040
vp_tl_flora_a01,tl,a01,flora,prod_v1,2004,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2004_run7002/prod_v1/20260917_152405
vp_tl_flora_a01,tl,a01,flora,prod_v1,2003,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2003_run7001/prod_v1/20260917_135831
vp_tl_flora_a01,tl,a01,flora,prod_v1,2002,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2002_run7001/prod_v1/20260917_123723
vp_tl_flora_a01,tl,a01,flora,prod_v1,2005,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2005_run7002/prod_v1/20260917_190207
vp_tl_flora_a01,tl,a01,flora,prod_v1,2010,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2010_run7001/prod_v1/20260918_004115
vp_tl_flora_a01,tl,a01,flora,prod_v1,2009,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2009_run7001/prod_v1/20260917_193954
vp_tl_flora_a01,tl,a01,flora,prod_v1,2007,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2007_run7002/prod_v1/20260917_181436
vp_tl_flora_a01,tl,a01,flora,prod_v1,2006,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2006_run7002/prod_v1/20260917_170101
vp_tl_flora_a01,tl,a01,flora,prod_v1,2008,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2008_run7001/prod_v1/20260917_182830
vp_tl_flora_a01,tl,a01,flora,prod_v1,2001,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2001_run7001/prod_v1/20260917_114312
vp_tl_flora_a01,tl,a01,flora,prod_v1,2004,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2004_run7001/prod_v1/20260917_152424
vp_tl_flora_a01,tl,a01,flora,prod_v1,2003,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2003_run7002/prod_v1/20260917_140516
vp_tl_flora_a01,tl,a01,flora,prod_v1,2002,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2002_run7002/prod_v1/20260917_133128
vp_tl_flora_a01,tl,a01,flora,prod_v1,2005,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2005_run7001/prod_v1/20260917_153244
vp_tl_flora_a01,tl,a01,flora,prod_v1,2010,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2010_run7002/prod_v1/20260917_210504
vp_tl_flora_a01,tl,a01,flora,prod_v1,2007,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2007_run7001/prod_v1/20260917_205506
vp_tl_flora_a01,tl,a01,flora,prod_v1,2009,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2009_run7002/prod_v1/20260917_195609
vp_tl_flora_a01,tl,a01,flora,prod_v1,2008,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2008_run7002/prod_v1/20260917_224805
